"f7","f7 2","w_iUH7","tl-m","w_kV33","gray","gray 2"
"Jan 18, 2021","Tessie Williamson","5 out of 5 stars review","Really pleased with this excellent helmet. The shape and design is really good looking and the features such as the rechargeable backlight and the magnetic visor are really cool.One slight issue I had is that, with my odd shaped long head, there's a plastic bit on the inside at the back that is a little bit scatchy. However, a bit of insulating tape on it has sorted the issue out and it's really comfy.The chin strap is easy to adjust and comfy. The visor is excellent and nice and easy to quickly pull it off if not needed or if things start to steam up and then clip it back on whilst in motion.Really delighted with this helmet!","A great bike helmet","Review from","victgoal.com"
"Nov 29, 2020","Monin Nawal","5 out of 5 stars review","It fits better than my other helmits. Like the magnetic goggles too. Had retina surgery and it really helps cut down the wind and sun while riding. The visor portion is a little longer, which is what I was looking for. Only question or issue is where can I get another goggle piece if needed?","Can I buy extra goggles?","Review from","victgoal.com"
"Jun 1, 2022","Marc da Silva","3 out of 5 stars review","05/31/2022I like it have used it about 2 years and still perfect I LOVED (PAST TENTS) the visor but it scratched up quick like in the first 2 months loved the magnet hold just slap it on and rip it off no fuss. Might last longer for you cause I'm pretty hard on my belongings the light in back is cool but very. Very dim. I hardly used it . Now the helmet itself that's what I'm talking about love to this day but I think it's about time to upgrade so I'm off to see what upgrades this seller has because there shipping packaging and product are up to par for the price you can't go wrong.That's my opinion and no one gave me a free sample or other free-bees for my opinion","Two years and still going atrong","Review from","victgoal.com"
"Jun 18, 2021","Jayson Kaaya","5 out of 5 stars review","There are a couple similar helmets out there, I chose this one even tho it is a bit pricier. It is lightweight (310g claimed), certified (claimed) and comes in good packaging. I have round head 58 cm and it fits ok. Light is integrated and has USB charging cable. The Visor has just the right amount of cut, my nose is not touching it and I can fit a decent sized square glasses under it. Many vent holes.Since I have not crashed with it (knock wood) so cannot really tell how it performs. But everything else looks very good.","Lightweight, good helmet","Review from","victgoal.com"
"Sep 27, 2021","Taahid Maraj","5 out of 5 stars review","My husband and I recently bought some Ebikes so we needed bike helmets and saw these and like the fact that they had the magnetic goggles. We are really happy with the helmets, they fit good and we really like that the magnetic goggles come off quickly and can be attached to the helmet even if we aren't using them. The goggles also make things so convenient because you don't have to remember to grab your sunglasses! We have even recommended the helmets to our neighbors.","Love this bike helmet!","Review from","victgoal.com"
"Aug 27, 2020","Rafaela Moore","5 out of 5 stars review","I needed a new helmet and liked the idea of getting one with 1-a built in rear blinker, and 2-a visor. I LOVE having the visor because it keeps the knats from getting in my eyes. They used to get around my sun glasses and get stuck in my eye. I had to stop, take off my helmet and gloves, and flush the bug out with water from my water bottle (probably not the best thing to use with backwash, but better than sticking my fingers in my eyes). I have had the helmet for about 3 weeks now and here it is in the height of bug season, and no more knats in my eyes. I think the visor actually creates a wind current around my face that pretty much deflects the bugs away because I have had fewer bugs in my mouth and nose as well. I ride 165 miles a week and probably at least half of that is through an area that is along a river (so lots more bugs!). The visor does scratch VERY easily though, so when you pop it off you have to be very careful not to drop it.The battery recharges really quickly (2 hours or less) and lasts for at least 2 rides (I alternate 30 miles/2.5 hrs one day and 25 miles/2 hrs the next) with enough juice to last if I end up getting sidetracked. I haven't tried seeing if it would last 3 days but I think it would last at least part way through the third.The helmet is comfortable and adjusted easily. The plastic coating does seem a little thinner than my old Bell helmet, but isn't it the foam that really absorbs the impact? It seems to come down a little farther on the back of my head because I have to secure my pony tail lower down than with my last helmet --- a good thing. I wish I had this 2 months ago when I wrecked and got thrown into a gate made of 2"" diameter pipe that hit just below the edge of my helmet. Might have spared myself that 2 day headache.","Really nice helmet","Review from","victgoal.com"
"Oct 30, 2019","Drishti Murty","4 out of 5 stars review","4.5 STARS !! VERY VISIBLE, USB LIGHT IS GOOD!I had to glue the liner down as it irritated my forehead.I had no need for the visor and it would fall off if you touched it. UN-necessary marketing gimmick.I would buy it again, and would have giving it 5 stars if they fine tuned there quality control .","VERY VISIBLE, USB LIGHT IS GOOD,","Review from","victgoal.com"
"Aug 14, 2021","Mason Stevens","5 out of 5 stars review","My grandkids thought I had the coolest helmet of all when 15 of us biked the 17 mile Hiawatha Trail in Northern Idaho last month. I loved the magnetic attached visor! The air would flow under it unlike sunglasses which went along wonderfully with the lightweight, easy flow helmet! Wonderful trip!!!","The visor makes this helmet!!!","Review from","victgoal.com"
"Sep 8, 2021","Westley Murazik","5 out of 5 stars review","A nice surprise! Looks good, fits an average size head real well! Light on the head and even has sunglasses you can attach and put over your glasses! Very satisfied & happy with my birthday gift. It even goes well with my all black Priority Commuter bike.","Comfortable, lightweight and Bad Boy!","Review from","victgoal.com"
"Feb 20, 2022","Gregoria Mertz","4 out of 5 stars review","Overall, this is a great helmet, quality build and finish. The light works great and came with a USB cord.The goggle visor is very clear and the magnet attachment are very strong. The only down side is the goggle vision come down to far around the nose (hitting the bridge of the nose). Tried to adjust the helmet straps to pull the helmet back on his head. It would be best to trim the goggle back around the nose area.Also the helmet came with a bag to store your helmet. I would buy again.","Great helmet for the price!!","Review from","victgoal.com"
"Jul 23, 2020","Madhu Boase","5 out of 5 stars review","These helmets are AMAZING!! I love the fit and how incredibly comfortable these helmets really are. The detachable goggles are really nice and I don't think I will have any issues while on a bike ride. The upgraded rechargeable light on the back of the helmet is nice and bright and will come in handy because of added safety.We purchased the blue helmet and the red helmet and the colors are just beautiful!! The colors are very vibrant and are put together very well! I love the chin support/cushion which adds a nice feature to the helmet and adds to the comfort of the helmets.Customer service for this company is top notch!!! They are very responsive and will take care of any issues that might come up. I would definitely purchase from this company again!","Excellent quality, incredible fit with vibrant color","Review from","victgoal.com"
"Aug 20, 2020","Magdalen Tromp","5 out of 5 stars review","This is a great helmet. It is comfortable and fit is great. It is not the most lightweight helmet but it is definitely my favorite. I have several helmets, some popular brands and some inexpensive china models. This one is the best among all of them. This one feels more substantial, and the visor and the goggles are cool. When I first got this I did not put the visor on and I used it for my road bike. It looks good and I wore it for several hundred miles. Then I bought a new helmet to use for my road bike (a more expensive helmet from a popular brand) and I gotta say that this helmet is nicer. However since I have that other helmet for my road bike, I put the visor on this one and now use it for my Mountain bike. It looks great and is still my favorite of all the helmets I have. I am going to leave the visor on (not sure if it will come off very easy) I will probably buy another one of these. You cannot go wrong with this helmet. I do not use the light on the back or the goggles but they do work well.","Best Helmet I have bought","Review from","victgoal.com"
"Nov 28, 2020","Jamaal Atukunda","4 out of 5 stars review","It is great that the light is rechargeable and doesn't take CR2032.I'll never use the visor.It is slightly too wide for its length, so doesn't fit my head perfectly. Unlike another helmet I have, you can tighten it and it does then fit, but there remains a big gap between the band and the outer shell.","Made for slightly wider heads","Review from","victgoal.com"
"Jul 17, 2021","Mayra Tillman","5 out of 5 stars review","Got this helmet as a father's day present earlier this year. I was very pleased with the quality of it and the fit/adjustability was excellent too. I did wonder about the visor, but I'm finding I prefer them to sunglasses as it guarantees full visibility and still protects my eyes at speed.Then a couple of days ago I was going downhill on gravel, perhaps faster than I should and I took big tumble. I know the helmet took a big impact, and I do now need a new one, but it held together and most importantly I wasn't knocked out and my head is still in one piece. Once the rest of my body has recovered, I'll definitely buy another one of these to replace it!","Saved my life (probably)","Review from","victgoal.com"
"Feb 18, 2021","Yasmin Narula","5 out of 5 stars review","Love the removable visor. Can see either when it's dark or light out. It blocks out the sun very well. It's very lightweight yet sturdy and strong. Love the light in the back of the helmet that you can turn and keep it lit or you can adjust the light to be a fade in/out or even make it blink.","Practical and Versatile Helmet","Review from","victgoal.com"
"Oct 20, 2021","Sandy Nuwamanya","5 out of 5 stars review","I found this helmet to be so comfortable that I forget that I have it on at times. The breathability is great; it keeps my head cool and sweat free. The removable goggles are a huge plus. They not only give me a wide unobstructed view but also do an awesome job of blocking out the wind. I took them off on a windy day and my eyes suddenly felt irritated even though I wear a pair of large glasses. The only thing I wish they could add is a way to fasten eyeglass straps to the goggles so that I won't have to worry about scratching it or accidentally leaving it behind when I take it off and place them on a table.","A definite good buy.","Review from","victgoal.com"
"Feb 8, 2020","Theodora Nader","5 out of 5 stars review","I love the features of the helmet. LED gives added piece of mind when riding on the road early mornings. Strap is very easy to adjust and I'm impressed that it even has a soft cover that keeps your chin from getting chafed. I ride in cold weather a lot so the visor was key to combat fogging issues, and the helmet fits well (with adjustment) over my balaclava.","Love the magnetic shield and built-in LED.  Worth the $$.","Review from","victgoal.com"
"Jul 20, 2020","Phoebe Bennett","5 out of 5 stars review","Well I am biased. This is the replacement for the one I was wearing when I went over the handlebars. Elbows and knees not so good, but my head is intact, thanks. The face shield was scoured by the asphalt--but not my face! This is what counts. I like the way the helmet wraps the back of the head more than the ""cap"" type helmets. By the way, I have ordered the replacement clear face shield (goggles) and it fits perfectly. Bruised thumbs up!","It held up in a crash!","Review from","victgoal.com"
"Oct 24, 2020","Assunta Wilderman","5 out of 5 stars review","The one thing I can't stand is cycling without my sunglasses on!! Not only does it stop the sun shining in my eyes but it also stops me being blinded by bugs! ... Only problem is my glasses! Problem solved a magnetic visor that literally pops on and covers the whole eye area!! Boom!","Problem solved!!!","Review from","victgoal.com"
"Nov 29, 2021","Nadine Move","4 out of 5 stars review","This is a very comfortable helmet with easy adjusents for chin and fit around the head. It just slides on and always feels secure.Back light in the helmet is a neat idea but I have continuosly forgotten to charge it, getting the helmet to a charger is not always convenient. The on off button for the light has no tactile feedback so you've no idea whether you managed to turn it on. Or off.The visor was the main reason I bought this but it fogs up almost immediately of you go indoors. You can remove the visor bit the very first thing I did was lose it. I bought the clear plastic variation too, both fog with a face mask. You can rock the helmet back on your head a little but you will still struggle to see indoors if wearing a mask that covers your nose.I love this helmet for the comfort and would recommend on that basis. If the plastic visor was attached and could be slid back it would be viable with some separately purchased anti fog spray.","Comfortable, probably won't use the visor","Review from","victgoal.com"
"Oct 31, 2020","Jiya Rajagopal","5 out of 5 stars review","After looking at the junk for sale in some of the big stores near me i knew that i wanted something with a lot more quality. what is the old biker saying ""how much is your head worth""? Sure you can spend a couple of hundred dollars i suppose but what for. this has very good protection, excellent visor, comfortable chin strap, great rear helmet light, and even a tinted lens as well. i live in Florida and knew i needed something cool. this is very cool. when i come to the end of my ride i sometimes forget that i have it on. feel silly almost going into a store wearing it, and almost have a time or two. this is a very reasonable price for a helmet of this quality. i have already recommended it to my friends. Get it, you will be glad you did.","Cool","Review from","victgoal.com"
"May 2, 2021","Whitney Zulauf","5 out of 5 stars review","Used the helmet for the first time this morning. Reasonably comfortable and the visor fits over prescription glasses really nicely and offers good protection from sun, wind and insects. Not sure how effective the USB light is but a good addition the cycle's rear light.","Great helmet - good protection and effective visor.","Review from","victgoal.com"
"Dec 16, 2019","Darrin Fritsch","3 out of 5 stars review","Helmet is very comfortable, and I really like the visor. I ordered a second clear visor when it became available. It adjusts very well, and the chin strap is as comfortable as one can be. Color is bright, but already fading after 2 months of use (100 miles per week), enough that I believe it will be nearly white by one year (similar to other safety yellow helmets I've owned).BIG PROBLEM - the light charges well still in the helmet, but can be removed if needed. It always felt like it was snapped in tight, but after 3 months it fell out somewhere along the road, and I have been unable to find it again. Now I have a gaping hole in the back of my helmet that no other light will fit. I have not seen where it can be purchased separately.","great helmet, but loose light","Review from","victgoal.com"
"Feb 19, 2021","Eva Palmer","3 out of 5 stars review","I have attached rear lights to my bike helmets for years. I was ready for a new helmet, and thought that the long-lasting built-in light with this helmet would be wonderful. As with most bikers, 99% of my miles are in daylight Unfortunately, the light is so dim during the day that there is virtually no chance of gaining the driver's attention beyond 100 yards.....which is not enough for safety. Otherwise, the helmet has good fit and adjustability. I purchased it in bright yellow, which is otherwise good for visibility. I have purchased a CygoLite 200 Lumen light to attach, which has turned this into a $75 helmet/light combo. Just too bad the Victgoal does not contain a viable rear light....even a 25 lumen blinkie would change my rating to 5-stars.","Built-In Light is Dismal for Daytime Biking","Review from","victgoal.com"
"Oct 24, 2020","Lora Kabuye","5 out of 5 stars review","This is a great helmet which comes well accessorized. In the box is:HelmetDetachable one-piece gogglesDetachable sun visorUSB charging cableCarry bagPaperworkThe helmet itself is very cool in it's on-trend matt black finish with white flashes and even hi-viz detailing on the straps. Being a bit of a visibility nerd though I...  l probably further snazz it up with some high viz tape. Talking of which, I absolutely love the rear light. It's built in so no chance of losing it and it has three modes in use. Comfort is great with it being light and sturdy but also fully adjustable and there is also some padding on the chin strap which is most welcome. The manufacturers have obviously put a lot of thought into the design of this item.The sun visor completes the MTB look (if desired) but the one-piece magnetic goggle is a fabulous feature giving you further eye protection and the full-on TT/Robocop profile with great eye protection at just the right distance from your face. It is a doddle to put on and pull off one-handed though I am a little concerned it may come off when going over big bumps. Not happened yet though and so far I am very impressed with this item that also represents excellent value for money.","Fully featured and well made helmet","Review from","victgoal.com"
"Dec 13, 2020","Eugene Mwesigye","5 out of 5 stars review","I have been really impressed with this helmet, and the attachable visor feature is superbWhen in use, the helmet is comfortable and lightweight and very easy to adjust. The small peak at the front is makes it more like a ""mountain bike"" helmet for than a standard ""rounded street bike"" helmet and adds a bit of character to the helmet itself. There are decent vents of the top to generate a cool ""airy"" feeling when worn and the black effect is very stylish. However the real gem on this helmet is the attachable front visor which acts like sunglasses and is superb to wear on bright sunny days. The visor itself offers decent protection against the sunlight but they are not polarized like some others on the market, however they do offer UV protection.Overall this is a great helmet in terms of comfort, style and functionality with the visor option and at this price offers superb value for money too - I would certainly recommended!","A great summer helmet with the visor!","Review from","victgoal.com"
"Jul 14, 2020","Maverick Rodriguez","5 out of 5 stars review","I liked the advertised features, the design, the sturdiness, and the price. Supply-line delays were expected to be more than eight weeks until delivery. To my delight the product was delivered two months early!I am very pleased with this bike helmet. One size DOES fit all! It is comfortable and very adjustable for safe fitting head protection. Its unique, magnetically attached, tinted eye piece is an attention getter and functions well for both physical and optical eye protection. Yes, and it is stylish, too.","A very satisfying purchase!","Review from","victgoal.com"
"Apr 7, 2021","Kim Verma","5 out of 5 stars review","I was not sure if this helmet would be good but after trying it out with the new bike (in the dark) I really do love it. It is way more comfortable then I thought, regardless of it being hard like other helmets. It just fit my head way better. The straps are strong and can be adjusted easily to keep it nice and tight.I have not set up a front headlight on it but I may later on. There is a red light on the back of it that can be recharged and I was told it is really easy to see me in the dark.","LOVE the back light and comfort level","Review from","victgoal.com"
"Jul 11, 2022","Ebiere Adewunmi","5 out of 5 stars review","Comfortable, red light on the rear, magnetic detachable tinted visor. All you need in a helmet.The detachable visor is a great touch as unlike with sunglasses you don't see the frame when in the top half of your vision (where you look up at the road ahead and to the side etc) your whole cycling vision is tinted.Used for about a month so far, only 20min riding per day and i haven't recharged the helmet light yet.","Everything you need in a helmet","Review from","victgoal.com"
"Jul 29, 2021","Sid Kijjoba","5 out of 5 stars review","I really like this helmet a lot with all the extra red light features on the back of the helmet. The helmet is really lightweight but once you put it on and tighten it up it fits my head pretty good and I have a small head. I can never find baseball caps in my size but this helmet came in my size and I really enjoyed it a lot that I bought another one with different colors to give to my bicycle buddy. My favorite part about this helmet is the magnetic shades. I was going to buy bicycle glasses but now that it comes with the magnetic visor I don't need goggles or glasses the shield on the helmet works great.","No tools required to set this up","Review from","victgoal.com"
"Nov 5, 2020","Tarun Gagrani","5 out of 5 stars review","Good helmet, very comfortable with the inner net cushion, I have a big head and it fits fine and feels good.The helmet looks good and feels quite solid and lightweight. The sun visor clips on and I think makes it look better so I leave it on all the time, it can pop of again with a tug if you want to.The eye protection is very good, it attaches by magnets that look like press studs and they are strong enough to hold it in place with the vibrations and if I knock it when moving the helmet on my head. They come down and cover you peripheral vision as well so you don't get wind in your eyes, they work better than sunglasses.The red light at the back is a good touch and adds some safety and it's easily recharged with the usb lead. You also get a carry bag and a snood as well.Not the cheapest helmet but it's made well and I'm pleased with it.","Comfortable, good magnetic sun glasses and good rear light","Review from","victgoal.com"
"Apr 13, 2022","Moshe Hill","3 out of 5 stars review","Unfortunately when i came to put it together the peak clips into three holes but the front one is impossible to click in so the peak can move up and down and is not secure.For the price i would of expected better.","The helmet is ok and comfy","Review from","victgoal.com"
"Mar 31, 2021","Noemi Herzog","5 out of 5 stars review","The helmet is well made, lightweight and comfortable to wear.The integrated USB rechargeable light and the magnetic visor are great value-added components.Very stylish and, in my opinion, well worth the money.","Victgoal Bike Helmet","Review from","victgoal.com"
"Nov 3, 2020","Kamini Baria","5 out of 5 stars review","Outstanding helmet and very light to wear and comfortable, easy to adjust and rear light is a great feature. Air flow feature keeps your head cool all the time. Highly recommend","The bike helmet you always wanted","Review from","victgoal.com"
"May 27, 2021","Zainab Osuagwu","4 out of 5 stars review","I love everything about this helmet except the strap kept coming off. I fixed the problem easy enough with a flame to melt the nylon together, not everyone will have the inclination.","Stylish and comfortable for my big head.","Review from","victgoal.com"
"Jul 27, 2020","Cindy Botsford","5 out of 5 stars review","Sporty look , solid construction and eye shield easily fits over glasses, magnets hold well on eye shield , adjustable straps and chin buckle provide comfortable secure fit. Arrived a week early packed well undamaged.","Best choice in helmets","Review from","victgoal.com"
"Apr 19, 2021","Jerome Tromp","3 out of 5 stars review","Helmet looks waay better in the pictures to be fair. The front piece if badly mounded and keeps popping off unless you decide to use super-glue on it, but then its there for good. it does the job, just would have liked it to work as in the video","Well, it IS a helmet i guess","Review from","victgoal.com"
"Jun 3, 2020","Gbemisola Odunayo","5 out of 5 stars review","My first helmet purchase and I nailed it. The visor is great for cold trips or wind. Easy magnet pop on visor. Comfort is great, convenient light. Light is good for night but not bright enough for day. Comes with a it own storage bag.","I was lucky!","Review from","victgoal.com"
"Jul 23, 2021","Prerna Chaudhry","3 out of 5 stars review","It does the job but the helmet is too large for my head (I have a regular-sized head), even selecting the smallest size. I have to remove it from my eyes all the time.","It's too large for me.","Review from","victgoal.com"
"Jul 1, 2021","Animesh Gill","5 out of 5 stars review","Really pleased with the helmet. Love the visor, keeps insects away.Only con, I wish a clear visor had also been included with the package. I have recommended this to a couple of my cycling friends.","Great helmet.","Review from","victgoal.com"
"Jun 20, 2021","Teena Mittal","5 out of 5 stars review","Great helmet for modern day use. Tried in rain and better than putting sunglass. No fog to worry about. Rechargeable light is fantastic modern concept to be seen while on road.","Amazing modern helmet","Review from","victgoal.com"
"Mar 2, 2021","Bud Hermann","5 out of 5 stars review","Love the helmet, but the strapping on the neck is uncomfortable. I think a chine strap would be better. Do you know if an alternate chin strap is available.","Nice helmet","Review from","victgoal.com"
"May 19, 2022","Elizabeth Wright","5 out of 5 stars review","I wanted a helmet with goggles this one is very comfortable. I have a few different helmets and I find myself grabbing this one all the time. It came with a missing chin pad and i contacted the seller and they sent one to me. Very nice helmet.","Nice helmet","Review from","victgoal.com"
"Jan 2, 2020","Satishwar Mohan","5 out of 5 stars review","I really like how easy it is to snap on and take off the visor. You can flip the visor upside down if you are mid-ride. I like having the light on the helmet, too.","Built with rider in mind","Review from","victgoal.com"
"Jun 8, 2021","Jaycee Funk","5 out of 5 stars review","I love this helmet especially the sun visor thing. I wear prescription glasses I don't wear sunglasses really, so I really like having that darkened visor on, it works great. And the way it magnetically connects is awesome.","Great helmet","Review from","victgoal.com"
"Jun 25, 2021","Hilton Greenholt","5 out of 5 stars review","This is a great helmet. Comfortable, lightweight and fits perfectly. It's adjustable for those who have a large noggin like myself. Would highly recommend great helmet! Buy it you won't be disappointed","Great helmet! 5 stars!","Review from","victgoal.com"
"Jun 21, 2021","Jobin Sing","5 out of 5 stars review","The helmet fits and works fine. Most importantly, the goggles work well without slippage and cover my upper face well with good ventilation in high temps throughout. I would buy this again.","UV goggles","Review from","victgoal.com"
"Jan 12, 2021","Nicholas Kakooza","5 out of 5 stars review","I like to wait a bit before writing a review to see how the product works. Fits great, breathes well, easy to adjust. The shade shield could hold a little tighter but is great. I would recommend getting one","Good product, nice fit","Review from","victgoal.com"
"Sep 27, 2021","Nonhlanhla Msomi","2 out of 5 stars review","The size of the helmet doesn't fit everyone we got for our son and doesn't fit his head and we cannot find how to buy a bigger size or a smaller one he have the M/l","Nice but the size doesn't fits","Review from","victgoal.com"
"Jun 10, 2021","Mittie Miller","5 out of 5 stars review","The Sun visor is amazing and fits nicely on top of my glasses without any interference. It also helps to screen insects pollens and all types of debris floating in the air. Helmet is lightweight and built-in light is very bold from afar.","Awesome cycle helmet.","Review from","victgoal.com"
"Mar 29, 2020","Brain Feil","5 out of 5 stars review","The shade visor and the red rear light are great features that most helmets do not have. The fit is adjustable and feels snug and comfortable when tuned in. Highly recommended.","Great fit.","Review from","victgoal.com"
"Jul 23, 2022","nicolaas Mnisi","5 out of 5 stars review","Weighs next to nothing, very breathable too. Love the magnetic clip on visors.I've a 63cm head so got the largest size and its a great fit, theres actually room to spare.","Incredibly lightweight!","Review from","victgoal.com"
"Apr 13, 2021","Kayode Akintade","5 out of 5 stars review","Tremendous piece of kit all round. Plenty of adjustment but fits like a glove anyway. Excellent idea having the removable and changeable magnetic goggles and visor. Upgraded helmet light a great improvement. All in all 10/10 and 5 stars. BRILLIANT!!","Price/quality/delivery","Review from","victgoal.com"
"Jun 27, 2022","Preet Majumdar","5 out of 5 stars review","I love this helmet, I waited for review but it fits me perfectly every time I put it on plus I get an extra safety a night with the light at the back of the head as well as a sun shield which makes riding easier for me especially with glasses.","Head protector","Review from","victgoal.com"
"Jul 19, 2022","Chizoba Chidinma","3 out of 5 stars review","I love the lightweight. I'm bald though and it had some pointy ends that are not covered with padding. All it takes is one little spot to be poking you in the head to make you want to tear it off.","Pinching my bald head","Review from","victgoal.com"
"Oct 1, 2020","Leila Biyinzika","2 out of 5 stars review","Visor is hazy and blurry. The helmet is light but the strap is very uncomfortable. The chin guard sits to the side of your ear because they made the straps equal length. The visor sits low on my nose and impedes vision. I returned it.","Blurry visor, uncomfortable straps","Review from","victgoal.com"
"Oct 16, 2021","Bradley Williams","2 out of 5 stars review","I have a smaller head and I needed a size smaller but they only offer one size. So I had to return it. Otherwise, I liked the feel and design of the helmet.","Didn't fit-they only offer one size","Review from","victgoal.com"
"Aug 13, 2021","Ruthe Obol","5 out of 5 stars review","I like the clip on sun screen. It's magnetic but holds quite well. I also like the regular visor. Very easy to interchange. The helmet itself is quite comfortable.","Very comfortable and sturdy","Review from","victgoal.com"
"Jun 30, 2020","Travis Twesigomwe","5 out of 5 stars review","This helmet looks great, has lots of features, is fully adjustable to make it very comfortable, and comes at a a great price! Shipping was also very fast. Great purchase!","Best helmet ever!","Review from","victgoal.com"
"May 22, 2021","Omawunmi Tella","4 out of 5 stars review","Note for 'bent riders only: The magnetic visor doesn't cover your vision as well when you're leaning back a bit as we do. Upright cyclists: Not a problem at all, visor should work a lot like googles only not as hot.","Nice package works as advertised","Review from","victgoal.com"
"May 19, 2022","Kelsie Hermiston","5 out of 5 stars review","Snug fit and breathers when I'm hot.I was knocked off my bike and landed on head looking at the bruising imprint of the helmet on my righthand upper lobe it in my mind and my wife's utterly saved my life","It saved my life after a hit and run. I'm so grateful I'm ordering a new one from this company.","Review from","victgoal.com"
"Aug 5, 2020","Narciso Koelpin","4 out of 5 stars review","I had to return the helmet because it was too big in spite of adjustments. The helmet really was nice but I have a very small head and it was just too loose.","Nice helmet","Review from","victgoal.com"
"Aug 7, 2020","Barnet Biyinzika","5 out of 5 stars review","This is the best helmet I brought since riding bikes and the light in the back is really Kool, now people can see my headlight and I want to say thank you for designing this helmet for I am satisfied. Gooday!!!","Always protect your head when riding bikes because you never know.","Review from","victgoal.com"
"May 13, 2021","Stan Reinger","3 out of 5 stars review","Helmet fit good, magnetic goggle a nice feature. Problem is that the light in rear is not very translucent-not visible in sunlight. This is needed to make you visible to cars approaching in rear.Works well for cloudy, evening use","Light NOT good for daytime use","Review from","victgoal.com"
"Dec 24, 2021","Berniece Jast","5 out of 5 stars review","Well designed, comfortable helmet. Haven't used the visor yet because the only one supplied is dark no good in winter conditions. Supplying a clear visor as well would make this a better package.","Recommended","Review from","victgoal.com"
"Nov 18, 2020","Yakubu Bello","4 out of 5 stars review","Rear light still works and is easy to charge. Visor magnets stronger than previous similar models I've had. Visor is deep enough to keep mud off, but too dark to wear in low light. Would be good to have an alternative / 2nd visor for evening use.","Does the job well","Review from","victgoal.com"
"Oct 14, 2020","Sebastian Edwards","5 out of 5 stars review","Love this lightweight bike helmet with the extra safety features such as the light in back & removable sunglasses. The ventilation is great as well. It is the first bike helmet I've owned, but I couldn't be happier with it.","Great helmet!","Review from","victgoal.com"
"Feb 18, 2021","Patricia Thwala","5 out of 5 stars review","The sun shade and goggles are great for my eyes because I just had surgery and need the protection from the UV rays. The light on the back of the helmet is great for added visibility in fog or low-light to prevent other drivers from hitting me.","Best for all around safety.","Review from","victgoal.com"
"Mar 31, 2021","Abbie Greenfelder","5 out of 5 stars review","Great helmet, fits really well, very light, and the visor is fantastic, you forget you have it on yet it stops the direct sun-glare, really good design overall.","Perfect weight and fit","Review from","victgoal.com"
"Jul 5, 2022","Adedayo Wuraola","5 out of 5 stars review","I absolutely love this Helmet... from the Comfort and Breathability, The very cool and Functional Goggles that have kept so much Sun and Bugs out of my eyes and The very Visible rechargeable light embedded in the design.","BEST HELMET EVER!!!","Review from","victgoal.com"
"Mar 24, 2021","Miguel Cronin","5 out of 5 stars review","I like the visor very much, Just got an extra one for the night (yellow visor) The helmet comes with the dark visor perfect for sunny days, I'm using my medicated glasses with no trouble at all. The back does it job.","Nice fit and comfortable  shape","Review from","victgoal.com"
"Sep 21, 2020","Alfie Wood","5 out of 5 stars review","I really like this helmet. It feels great and I like the look. This works for me.. I am very pleased with this purchase. The seller was fast and very efficient in the delivery. totally happy with every thing.","Real Nice Bike Helmet","Review from","victgoal.com"
"Jul 17, 2020","Linda Dladla","5 out of 5 stars review","Bicycle helmets always looked wonky (opinion). This one has a sleek look and fits very well. Has a solid or blinking light that is easy to recharge. I bought electric bike (awaiting for arrival), but this helmet is bad a$$.","Way cool","Review from","victgoal.com"
"Aug 6, 2021","Gladys Kazibwe","5 out of 5 stars review","Very comfortable, well made. I don't like to buy before I try, but I did anyway and I don't regret buying this helmet! Actually, I purchased one for my wife also and she likes hers also, they look nice and we're reasonable priced! Happy customer!","Quality helmet!","Review from","victgoal.com"
"Oct 15, 2021","Alison Bisheko","2 out of 5 stars review","Ouch ouch ouch. Not for round head shapes. Likely better for oval shapes. Fit and finish isn't great. There are better helmets for the money out there.","Pinches at the temples","Review from","victgoal.com"
"Sep 28, 2020","Niko Cartwright","5 out of 5 stars review","I like the look the style and the comfort of this helmet it has plenty of ventilation and the built-in light is very convenient and also highly safe I don't do much night Rides but when I do I'm seen! Love the detachable goggles and also the visor","Great helmet for the price","Review from","victgoal.com"
"Jan 24, 2021","Adegoke Wasiu","3 out of 5 stars review","Great , light weight , but the red buckle and strap are junk , kept falling off , finally got mad and glued it so it won't fall off . I noticed most brands have this same clasp . The helmet dies fit good , nice red light in back .","Strap sucks ! Helmet good","Review from","victgoal.com"
"Jul 10, 2021","Zella Williamson","5 out of 5 stars review","I ride 100-150 miles a week and just love this helmet. The integrated light works great and is bright. And the visor is a huge improvement over the sunglasses I used to wear. This is a great buy.","Great value","Review from","victgoal.com"
"Mar 14, 2022","Alphonso Braun","5 out of 5 stars review","everything is designed better. 3 way adjust for head strapping, mesh, air flow, on helmet light is bright and configurable. sun glass and visor great fit, design.","everything is designed better than for comparable helmets","Review from","victgoal.com"
"Aug 24, 2020","Amos Osiki","5 out of 5 stars review","I like everything about this helmet. Quality material, adjustable fit, great design and eye shield provides enough room to wear glasses behind it.Also, company personnel are fast to respond to any questions.","Well worth it","Review from","victgoal.com"
"Aug 31, 2021","Esse Ademayowa","5 out of 5 stars review","I love this helmet. The fact that it comes with a tinted visor to protect your eyes is a great feature. It attaches via magnets so it's easy to put on as well as remove.","Great helmet","Review from","victgoal.com"
