"f7","f7 2","w_iUH7","tl-m","w_kV33","gray","gray 2"
"Dec 13, 2024","Paul","1 out of 5 stars review","The order I'm sure is lost. It keeps saying it's delayed and on its way.","","",""
"Aug 12, 2024","Greg","5 out of 5 stars review","Helmet just as described. I love it!","","",""
"Oct 6, 2024","Tyrone","4 out of 5 stars review","Nice helmet, The visor comes off really easy.","","",""
"Sep 30, 2024","Robert","5 out of 5 stars review","nifty helmet, really nice visor that attaches magnetically","Nifty Helmet","",""
"Oct 3, 2024","Beverly","5 out of 5 stars review","Light weight, yet strong !","","",""
"Dec 31, 2024","karen","5 out of 5 stars review","lights on helmet","","",""
"Jan 21, 2025","Patrick","5 out of 5 stars review","Great bike helmet","","",""
"Jun 4, 2025","Aundra","5 out of 5 stars review","Thank you….nice helmet","","",""
"Mar 11, 2025","anonymous","4 out of 5 stars review","Nice, too small for me","Review","",""
"Mar 2, 2025","Jeffrey","5 out of 5 stars review","Great item","","",""
"Apr 16, 2025","Lawrence","5 out of 5 stars review","Fantastic!","","",""
"Aug 14, 2023","Eric","5 out of 5 stars review","I loved the visor and that it is magnetically attached. I also love the 3 light modes on the back of the helmet that can be cycled through by pressing the button. Looks very cool.","Great Helmet","",""
"Apr 6, 2024","jenriqueusa","5 out of 5 stars review","It feels really comfortable, light but strong. The light has three modes and you can see them clear at a good distance. How good it looks, it's just a neat bonus.  Happy customer","Highly recomended","",""
"Sep 21, 2023","Gail","5 out of 5 stars review","Surprising lightweight and functional, love the “safety” light feature on the back.  The magnetic sunshield (visor) is awesome.  Well worth the money.","Great Features","",""
"Nov 15, 2023","Kayden","5 out of 5 stars review","Loves his new helmet, adult size gives  him room to grow. The goggles %26 back of helmet with the light with 3 settings is great. Such a safety helmet. Very best purchase.","","",""
"Apr 5, 2024","Muckjr","5 out of 5 stars review","Solid Fit. The adjustable headband is the Bomb. Feels secure, doesn't slide around. Rechargeable light, magnetic tinted visor, easy on %26 off. Best bike helmet I've ever had.","Awesome","",""
